Date,Value,YOY (%),index
2023-09-01,7.83,-0.25,^HSI
2023-08-01,7.83,-0.25,^HSI
2023-07-01,7.82,-0.38,^HSI
2023-06-01,7.83,-0.25,^HSI
2023-05-01,7.84,-0.13,^HSI
2023-04-01,7.85,0.13,^HSI
2023-03-01,7.85,0.38,^HSI
2023-02-01,7.85,0.64,^HSI
2023-01-01,7.82,0.39,^HSI
2022-12-01,7.79,-0.13,^HSI
2022-11-01,7.83,0.51,^HSI
2022-10-01,7.85,0.9,^HSI
2022-09-01,7.85,0.9,^HSI
2022-08-01,7.85,0.9,^HSI
2022-07-01,7.85,1.03,^HSI
2022-06-01,7.85,1.16,^HSI
2022-05-01,7.85,1.03,^HSI
2022-04-01,7.84,0.9,^HSI
2022-03-01,7.82,0.64,^HSI
2022-02-01,7.8,0.65,^HSI
2022-01-01,7.79,0.52,^HSI
2021-12-01,7.8,0.65,^HSI
2021-11-01,7.79,0.52,^HSI
2021-10-01,7.78,0.39,^HSI
2021-09-01,7.78,0.39,^HSI
2021-08-01,7.78,0.39,^HSI
2021-07-01,7.77,0.26,^HSI
2021-06-01,7.76,0.13,^HSI
2021-05-01,7.77,0.26,^HSI
2021-04-01,7.77,0.26,^HSI
2021-03-01,7.77,0.0,^HSI
2021-02-01,7.75,-0.39,^HSI
2021-01-01,7.75,-0.26,^HSI
2020-12-01,7.75,-0.64,^HSI
2020-11-01,7.75,-1.02,^HSI
2020-10-01,7.75,-1.15,^HSI
2020-09-01,7.75,-1.15,^HSI
2020-08-01,7.75,-1.15,^HSI
2020-07-01,7.75,-0.77,^HSI
2020-06-01,7.75,-1.02,^HSI
2020-05-01,7.75,-1.27,^HSI
2020-04-01,7.75,-1.15,^HSI
2020-03-01,7.77,-1.02,^HSI
2020-02-01,7.78,-0.89,^HSI
2020-01-01,7.77,-0.89,^HSI
2019-12-01,7.8,-0.26,^HSI
2019-11-01,7.83,0.0,^HSI
2019-10-01,7.84,0.0,^HSI
2019-09-01,7.84,0.0,^HSI
2019-08-01,7.84,-0.13,^HSI
2019-07-01,7.81,-0.51,^HSI
2019-06-01,7.83,-0.25,^HSI
2019-05-01,7.85,0.0,^HSI
2019-04-01,7.84,-0.13,^HSI
2019-03-01,7.85,0.13,^HSI
2019-02-01,7.85,0.38,^HSI
2019-01-01,7.84,0.26,^HSI
2018-12-01,7.82,0.13,^HSI
2018-11-01,7.83,0.26,^HSI
2018-10-01,7.84,0.38,^HSI
2018-09-01,7.84,0.38,^HSI
2018-08-01,7.85,0.38,^HSI
2018-07-01,7.85,0.51,^HSI
2018-06-01,7.85,0.64,^HSI
2018-05-01,7.85,0.77,^HSI
2018-04-01,7.85,1.03,^HSI
2018-03-01,7.84,0.9,^HSI
2018-02-01,7.82,0.77,^HSI
2018-01-01,7.82,0.77,^HSI
2017-12-01,7.81,0.64,^HSI
2017-11-01,7.81,0.64,^HSI
2017-10-01,7.81,0.64,^HSI
2017-09-01,7.81,0.64,^HSI
2017-08-01,7.82,0.77,^HSI
2017-07-01,7.81,0.64,^HSI
2017-06-01,7.8,0.52,^HSI
2017-05-01,7.79,0.39,^HSI
2017-04-01,7.77,0.13,^HSI
2017-03-01,7.77,0.13,^HSI
2017-02-01,7.76,-0.26,^HSI
2017-01-01,7.76,-0.26,^HSI
2016-12-01,7.76,0.13,^HSI
2016-11-01,7.76,0.13,^HSI
2016-10-01,7.76,0.13,^HSI
2016-09-01,7.76,0.13,^HSI
2016-08-01,7.76,0.13,^HSI
2016-07-01,7.76,0.13,^HSI
2016-06-01,7.76,0.13,^HSI
2016-05-01,7.76,0.13,^HSI
2016-04-01,7.76,0.13,^HSI
2016-03-01,7.76,0.0,^HSI
2016-02-01,7.78,0.26,^HSI
2016-01-01,7.78,0.39,^HSI
2015-12-01,7.75,0.0,^HSI
2015-11-01,7.75,0.0,^HSI
2015-10-01,7.75,-0.13,^HSI
2015-09-01,7.75,0.0,^HSI
2015-08-01,7.75,0.0,^HSI
2015-07-01,7.75,0.0,^HSI
2015-06-01,7.75,0.0,^HSI
2015-05-01,7.75,0.0,^HSI
2015-04-01,7.75,0.0,^HSI
2015-03-01,7.76,0.0,^HSI
2015-02-01,7.76,0.0,^HSI
2015-01-01,7.75,-0.13,^HSI
2014-12-01,7.75,0.0,^HSI
2014-11-01,7.75,0.0,^HSI
2014-10-01,7.76,0.13,^HSI
2014-09-01,7.75,0.0,^HSI
2014-08-01,7.75,-0.13,^HSI
2014-07-01,7.75,-0.13,^HSI
2014-06-01,7.75,-0.13,^HSI
2014-05-01,7.75,-0.13,^HSI
2014-04-01,7.75,-0.13,^HSI
