crash_start,crash_end,duration,drawdown
2020-03-05,2020-03-13,8,-0.264988547327104
2002-09-12,2002-09-25,13,-0.20180204550532788
2011-07-25,2011-08-09,15,-0.1881761501607928
2008-10-08,2008-10-13,5,-0.1589212121457537
2002-07-19,2002-07-25,6,-0.14741700273545846
2001-09-05,2001-09-12,7,-0.13435894368577808
2003-03-04,2003-03-13,9,-0.13421685927090593
2008-10-15,2008-10-17,2,-0.13236046887026032
2008-01-15,2008-01-22,7,-0.1255155561180504
2015-08-18,2015-08-25,7,-0.12096959862962031
2009-01-07,2009-01-16,9,-0.11964414506932758
2010-05-04,2010-05-10,6,-0.1181446480032336
1997-10-22,1997-10-29,7,-0.11446531298379764
2003-01-17,2003-01-28,11,-0.11345044418719155
1998-09-17,1998-09-22,5,-0.10968557353059825
2008-11-19,2008-11-24,5,-0.1088574736379207
1990-08-17,1990-08-22,5,-0.1063063063063063
2016-06-24,2016-06-28,4,-0.10606975758993163
2009-02-16,2009-02-26,10,-0.1015927880181844
2002-10-03,2002-10-10,7,-0.09940096357824423
2008-10-06,2008-10-07,1,-0.09934590743258308
1990-08-01,1990-08-07,6,-0.09744897959183674
