crash_start,crash_end,duration,drawdown
2008-10-21,2008-10-28,7,-0.2863587037608626
1998-01-05,1998-01-13,8,-0.2484106868266851
2008-10-03,2008-10-09,6,-0.15718334868854084
2008-09-09,2008-09-19,10,-0.1543014844090158
2011-08-02,2011-08-10,8,-0.1486375009712723
2008-01-21,2008-01-23,2,-0.14460131054239453
2008-10-15,2008-10-20,5,-0.1424320662980606
2000-01-04,2000-01-07,3,-0.12982040167096734
2009-01-06,2009-01-14,8,-0.12219984991567044
2000-09-07,2000-09-19,12,-0.11731736289710501
2008-01-10,2008-01-17,7,-0.1162284287988983
2015-08-14,2015-08-25,11,-0.11534438287357897
2000-04-13,2000-04-18,5,-0.1109746592733446
1998-08-28,1998-09-02,5,-0.1099014749202198
