crash_start,crash_end,duration,drawdown,index
2008-10-02,2008-10-15,13,-0.2771758552481713,^N225
2008-10-22,2008-10-28,6,-0.24708087453138805,^N225
1971-08-16,1971-08-20,4,-0.21246567483974196,^N225
2011-03-10,2011-03-16,6,-0.19017417725452174,^N225
1987-10-15,1987-10-21,6,-0.1792156067780587,^N225
1974-09-26,1974-10-14,18,-0.16984536783979634,^N225
1990-08-16,1990-08-24,8,-0.15878683443607383,^N225
2020-03-11,2020-03-17,6,-0.1475623786405081,^N225
1990-09-26,1990-10-02,6,-0.1410055566396195,^N225
2015-08-18,2015-08-26,8,-0.13688314272413935,^N225
1973-12-03,1973-12-14,11,-0.13496221128016156,^N225
2008-10-16,2008-10-17,1,-0.128749298760843,^N225
1990-03-27,1990-04-03,7,-0.12060656799689129,^N225
2000-12-14,2000-12-22,8,-0.11693223415245473,^N225
1996-12-30,1997-01-13,14,-0.1110479954072481,^N225
1990-08-01,1990-08-08,7,-0.10968904970919405,^N225
1997-12-18,1997-12-25,7,-0.10776506555870294,^N225
